Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,100.0,2.676,0.0,2.68,2675600000.0,,5.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
AVGO,TREND,4,100.0,100.0,0.0,75.0,2.164,-0.314,6.18,20.68,0.75,4.2,4,0,1.75,10.0,1.0,10.0,0.35,0.85,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,14.903,0.0,14.9,14903000000.0,,4.0,1,0,1.75,6.0,0.9,8.0,0.25,0.88,4
NVDA,TREND,3,100.0,100.0,0.0,66.7,3.236,-0.344,6.13,18.79,0.966,5.0,3,0,1.75,10.0,1.0,10.0,0.35,0.85,5
META,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,2.396,0.0,2.4,2395600000.0,,4.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
V,STEADY,1,100.0,100.0,0.0,100.0,3.513,0.0,3.51,3513000000.0,,5.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
TSLA,TSLA_SOLO,2,100.0,100.0,0.0,50.0,10.636,-0.002,10.63,4624.43,0.707,3.5,2,0,2.0,0.0,1.0,3.0,0.1,0.88,4
XOM,TREND,2,100.0,100.0,0.0,100.0,4.067,0.0,8.13,8133200000.0,6.135,5.0,2,0,1.75,10.0,1.0,10.0,0.35,0.85,5
GOOGL,TREND,3,66.7,66.7,0.0,66.7,7.177,-4.53,9.82,3.17,0.447,4.7,3,0,1.75,10.0,1.0,10.0,0.35,0.85,5
PLTR,EXPLOSIVE,6,66.7,66.7,0.0,66.7,2.226,-5.66,-2.42,0.79,-0.091,3.7,6,0,1.75,6.0,0.9,8.0,0.25,0.88,4
JPM,STEADY,2,50.0,50.0,0.0,50.0,3.253,-3.088,0.17,1.05,0.018,5.0,2,0,1.5,8.0,0.95,8.0,0.1,0.65,5
