Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,100.0,2.676,0.0,2.68,2675600000.0,,5.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,15.235,0.0,15.23,15234600000.0,,7.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
GOOGL,TREND,1,100.0,100.0,0.0,100.0,10.023,0.0,10.02,10022700000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
PLTR,EXPLOSIVE,1,100.0,100.0,0.0,100.0,5.044,0.0,5.04,5044100000.0,,4.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
JPM,STEADY,1,100.0,100.0,0.0,100.0,3.253,0.0,3.25,3253200000.0,,5.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
META,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,2.396,0.0,2.4,2395600000.0,,4.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
NVDA,TREND,1,100.0,100.0,0.0,100.0,2.787,0.0,2.79,2786700000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
V,STEADY,1,100.0,100.0,0.0,100.0,3.513,0.0,3.51,3513000000.0,,5.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
TSLA,TSLA_SOLO,1,100.0,100.0,0.0,100.0,8.019,0.0,8.02,8019300000.0,,6.0,1,0,2.0,0.0,1.0,3.0,0.1,0.88,4
XOM,TREND,1,100.0,100.0,0.0,100.0,3.598,0.0,3.6,3597900000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
AVGO,TREND,2,50.0,50.0,0.0,50.0,1.793,-0.087,1.71,20.66,0.642,6.5,2,0,2.0,10.0,1.0,10.0,0.35,0.85,5
