Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,100.0,2.676,0,2.68,2675600000.0,,5.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
AVGO,TREND,2,100.0,100.0,0.0,100.0,2.919,0,5.84,5837800000.0,1.834,4.0,2,0,2.0,10.0,1.0,10.0,0.35,0.85,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,14.903,0,14.9,14903000000.0,,4.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
GOOGL,TREND,1,100.0,100.0,0.0,100.0,10.023,0,10.02,10022700000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
JPM,STEADY,1,100.0,100.0,0.0,100.0,3.253,0,3.25,3253200000.0,,5.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
META,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,2.396,0,2.4,2395600000.0,,4.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
NVDA,TREND,1,100.0,100.0,0.0,100.0,2.787,0,2.79,2786700000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
PLTR,EXPLOSIVE,1,100.0,100.0,0.0,100.0,5.044,0,5.04,5044100000.0,,4.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
TSLA,TSLA_SOLO,1,100.0,100.0,0.0,100.0,10.636,0,10.64,10636200000.0,,3.0,1,0,2.0,0.0,1.0,3.0,0.1,0.88,4
V,STEADY,1,100.0,100.0,0.0,100.0,3.513,0,3.51,3513000000.0,,5.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
XOM,TREND,1,100.0,100.0,0.0,100.0,3.598,0,3.6,3597900000.0,,5.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
